Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USERID_IS_INVALID in ErrorMessage,ErrorMessage.java,79,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_SOURCE_APPLICATION_IS_INVALID in ErrorMessage,ErrorMessage.java,82,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_ISS_TOKEN_IS_INVALID in ErrorMessage,ErrorMessage.java,85,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_IS_INVALID in ErrorMessage,ErrorMessage.java,88,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LANGUAGE_IS_INVALID in ErrorMessage,ErrorMessage.java,91,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_IS_EXPIRED in ErrorMessage,ErrorMessage.java,103,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_RRDI_INVALID in ErrorMessage,ErrorMessage.java,106,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_RRDI_USER_UNAUTHORIZED in ErrorMessage,ErrorMessage.java,109,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_VERIFICATION_FAILED in ErrorMessage,ErrorMessage.java,115,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_REPAIRER_COUNTRY_INVALID in ErrorMessage,ErrorMessage.java,118,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LOCALE_INVALID in ErrorMessage,ErrorMessage.java,121,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_AUTH_TOKEN_MISSING in ErrorMessage,ErrorMessage.java,127,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_VERIFICATION_FAILED in ErrorMessageConstants,ErrorMessageConstants.java,32,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_EXCEPTION_VERIFYING_TOKEN in ErrorMessageConstants,ErrorMessageConstants.java,35,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,77,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_RRDI_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,80,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_USER_NAME_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,83,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_USER_COUNTRY_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,86,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ISSUE_MSG_TOKEN_POS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,89,D11,,YES
D11-001,CRITICAL,Hardcoded credential — MSG_TOKEN_NOT_VALID in ErrorMessageConstants,ErrorMessageConstants.java,104,D11,,YES
D11-001,CRITICAL,Hardcoded credential — MSG_TOKEN_EXPIRED in ErrorMessageConstants,ErrorMessageConstants.java,107,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_EXCEPTION_VERIFYING_TOKEN in ErrorMessageConstants,ErrorMessageConstants.java,213,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_VIN_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,268,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_VIN_RRDI_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,271,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USERID_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,274,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_SOURCE_APPLICATION_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,277,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LANGUAGE_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,280,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LANGUAGE_IS_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,283,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_NOT_VALID in ErrorMessageConstants,ErrorMessageConstants.java,301,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_IS_EXPIRED in ErrorMessageConstants,ErrorMessageConstants.java,304,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,307,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_RRDI_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,310,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_RECEPTION_RRDI_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,313,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LOCALE_IS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,316,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_LOCALE_IS_INVALID in ErrorMessageConstants,ErrorMessageConstants.java,319,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USER_NAME_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,322,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USER_COUNTRY_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,325,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_POS_MISSING in ErrorMessageConstants,ErrorMessageConstants.java,328,D11,,YES
